vestiging_uri,v_status,v_content_type,v_valid_turtle,linked_onderneming,o_status,o_valid_turtle,error
https://data.vlaanderen.be/id/vestiging/2015180245,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0418488682,200,True,
https://data.vlaanderen.be/id/vestiging/2276964340,404,text/html,False,,,,HTTP 404
https://data.vlaanderen.be/id/vestiging/2211627318,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0403834160,200,True,
https://data.vlaanderen.be/id/vestiging/2088694466,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0464051958,200,True,
https://data.vlaanderen.be/id/vestiging/2012911435,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0401345121,200,True,
https://data.vlaanderen.be/id/vestiging/2169273653,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0895613074,200,True,
https://data.vlaanderen.be/id/vestiging/2021009351,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0423032737,200,True,
https://data.vlaanderen.be/id/vestiging/2095390238,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0475911197,200,True,
https://data.vlaanderen.be/id/vestiging/2142775035,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0403834160,200,True,
https://data.vlaanderen.be/id/vestiging/2180635422,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0817808087,200,True,
https://data.vlaanderen.be/id/vestiging/2193034101,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0478159718,200,True,
https://data.vlaanderen.be/id/vestiging/2209881318,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0846219981,200,True,
https://data.vlaanderen.be/id/vestiging/2065125644,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0450880051,200,True,
https://data.vlaanderen.be/id/vestiging/2142774837,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0403834160,200,True,
https://data.vlaanderen.be/id/vestiging/2145950497,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0403196039,200,True,
https://data.vlaanderen.be/id/vestiging/2083809230,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0461520456,404,False,HTTP 404
https://data.vlaanderen.be/id/vestiging/2225663812,404,text/html,False,,,,HTTP 404
https://data.vlaanderen.be/id/vestiging/2231032860,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0438973597,200,True,
https://data.vlaanderen.be/id/vestiging/2046121760,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0438973597,200,True,
https://data.vlaanderen.be/id/vestiging/2090578840,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0464886950,200,True,
https://data.vlaanderen.be/id/vestiging/2161879976,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0212215907,200,True,
https://data.vlaanderen.be/id/vestiging/2077881936,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0458551563,200,True,
https://data.vlaanderen.be/id/vestiging/2114429160,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0478247117,200,True,
https://data.vlaanderen.be/id/vestiging/2016413135,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0419689997,200,True,
https://data.vlaanderen.be/id/vestiging/2162493254,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0216772234,200,True,
https://data.vlaanderen.be/id/vestiging/2041319072,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0436057164,200,True,
https://data.vlaanderen.be/id/vestiging/2174476516,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0417608952,200,True,
https://data.vlaanderen.be/id/vestiging/2015284767,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0418701686,200,True,
https://data.vlaanderen.be/id/vestiging/2235547815,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0434504174,200,True,
https://data.vlaanderen.be/id/vestiging/2000630641,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0400010776,200,True,
https://data.vlaanderen.be/id/vestiging/2010618473,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0414792982,200,True,
https://data.vlaanderen.be/id/vestiging/2115494675,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0472680604,200,True,
https://data.vlaanderen.be/id/vestiging/2233613654,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0554720927,200,True,
https://data.vlaanderen.be/id/vestiging/2162630341,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0889081214,200,True,
https://data.vlaanderen.be/id/vestiging/2173546603,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0806903309,200,True,
https://data.vlaanderen.be/id/vestiging/2181547618,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0819592095,404,False,HTTP 404
https://data.vlaanderen.be/id/vestiging/2270091196,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0413796456,200,True,
https://data.vlaanderen.be/id/vestiging/2076116734,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0457549295,200,True,
https://data.vlaanderen.be/id/vestiging/2153081086,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0478379452,404,False,HTTP 404
https://data.vlaanderen.be/id/vestiging/2064790795,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0451562813,200,True,
https://data.vlaanderen.be/id/vestiging/2044102378,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0437253333,200,True,
https://data.vlaanderen.be/id/vestiging/2051792005,200,text/turtle,True,https://data.vlaanderen.be/id/onderneming/0442782234,200,True,
https://data.vlaanderen.be/id/vestiging/2143896473,404,text/html,False,,,,HTTP 404
