"o","nieuweURI"
"http://data.kbodata.be/organisation/2_211_627_318#id","https://data.vlaanderen.be/id/vestiging/2211627318"
"http://data.kbodata.be/organisation/2_088_694_466#id","https://data.vlaanderen.be/id/vestiging/2088694466"
"http://data.kbodata.be/organisation/2_012_911_435#id","https://data.vlaanderen.be/id/vestiging/2012911435"
"http://data.kbodata.be/organisation/2_169_273_653#id","https://data.vlaanderen.be/id/vestiging/2169273653"
"http://data.kbodata.be/organisation/2_021_009_351#id","https://data.vlaanderen.be/id/vestiging/2021009351"
"http://data.kbodata.be/organisation/2_095_390_238#id","https://data.vlaanderen.be/id/vestiging/2095390238"
"http://data.kbodata.be/organisation/2_142_775_035#id","https://data.vlaanderen.be/id/vestiging/2142775035"
"http://data.kbodata.be/organisation/2_180_635_422#id","https://data.vlaanderen.be/id/vestiging/2180635422"
"http://data.kbodata.be/organisation/2_193_034_101#id","https://data.vlaanderen.be/id/vestiging/2193034101"
"http://data.kbodata.be/organisation/2_209_881_318#id","https://data.vlaanderen.be/id/vestiging/2209881318"
"http://data.kbodata.be/organisation/2_065_125_644#id","https://data.vlaanderen.be/id/vestiging/2065125644"
"http://data.kbodata.be/organisation/2_142_774_837#id","https://data.vlaanderen.be/id/vestiging/2142774837"
"http://data.kbodata.be/organisation/2_145_950_497#id","https://data.vlaanderen.be/id/vestiging/2145950497"
"http://data.kbodata.be/organisation/2_083_809_230#id","https://data.vlaanderen.be/id/vestiging/2083809230"
"http://data.kbodata.be/organisation/2_225_663_812#id","https://data.vlaanderen.be/id/vestiging/2225663812"
"http://data.kbodata.be/organisation/2_231_032_860#id","https://data.vlaanderen.be/id/vestiging/2231032860"
"http://data.kbodata.be/organisation/2_046_121_760#id","https://data.vlaanderen.be/id/vestiging/2046121760"
"http://data.kbodata.be/organisation/2_090_578_840#id","https://data.vlaanderen.be/id/vestiging/2090578840"
"http://data.kbodata.be/organisation/2_161_879_976#id","https://data.vlaanderen.be/id/vestiging/2161879976"
"http://data.kbodata.be/organisation/2_077_881_936#id","https://data.vlaanderen.be/id/vestiging/2077881936"
"http://data.kbodata.be/organisation/2_114_429_160#id","https://data.vlaanderen.be/id/vestiging/2114429160"
"http://data.kbodata.be/organisation/2_016_413_135#id","https://data.vlaanderen.be/id/vestiging/2016413135"
"http://data.kbodata.be/organisation/2_162_493_254#id","https://data.vlaanderen.be/id/vestiging/2162493254"
"http://data.kbodata.be/organisation/2_041_319_072#id","https://data.vlaanderen.be/id/vestiging/2041319072"
"http://data.kbodata.be/organisation/2_174_476_516#id","https://data.vlaanderen.be/id/vestiging/2174476516"
"http://data.kbodata.be/organisation/2_015_284_767#id","https://data.vlaanderen.be/id/vestiging/2015284767"
"http://data.kbodata.be/organisation/2_235_547_815#id","https://data.vlaanderen.be/id/vestiging/2235547815"
"http://data.kbodata.be/organisation/2_000_630_641#id","https://data.vlaanderen.be/id/vestiging/2000630641"
"http://data.kbodata.be/organisation/2_010_618_473#id","https://data.vlaanderen.be/id/vestiging/2010618473"
"http://data.kbodata.be/organisation/2_115_494_675#id","https://data.vlaanderen.be/id/vestiging/2115494675"
"http://data.kbodata.be/organisation/2_233_613_654#id","https://data.vlaanderen.be/id/vestiging/2233613654"
"http://data.kbodata.be/organisation/2_162_630_341#id","https://data.vlaanderen.be/id/vestiging/2162630341"
"http://data.kbodata.be/organisation/2_173_546_603#id","https://data.vlaanderen.be/id/vestiging/2173546603"
"http://data.kbodata.be/organisation/2_181_547_618#id","https://data.vlaanderen.be/id/vestiging/2181547618"
"http://data.kbodata.be/organisation/2_270_091_196#id","https://data.vlaanderen.be/id/vestiging/2270091196"
"http://data.kbodata.be/organisation/2_076_116_734#id","https://data.vlaanderen.be/id/vestiging/2076116734"
"http://data.kbodata.be/organisation/2_153_081_086#id","https://data.vlaanderen.be/id/vestiging/2153081086"
"http://data.kbodata.be/organisation/2_064_790_795#id","https://data.vlaanderen.be/id/vestiging/2064790795"
"http://data.kbodata.be/organisation/2_044_102_378#id","https://data.vlaanderen.be/id/vestiging/2044102378"
"http://data.kbodata.be/organisation/2_051_792_005#id","https://data.vlaanderen.be/id/vestiging/2051792005"
"http://data.kbodata.be/organisation/2_143_896_473#id","https://data.vlaanderen.be/id/vestiging/2143896473"
"http://data.kbodata.be/organisation/2_245_156_951#id","https://data.vlaanderen.be/id/vestiging/2245156951"
"http://data.kbodata.be/organisation/2_135_629_501#id","https://data.vlaanderen.be/id/vestiging/2135629501"
"http://data.kbodata.be/organisation/2_036_328_720#id","https://data.vlaanderen.be/id/vestiging/2036328720"
"http://data.kbodata.be/organisation/2_068_090_082#id","https://data.vlaanderen.be/id/vestiging/2068090082"
"http://data.kbodata.be/organisation/2_274_106_008#id","https://data.vlaanderen.be/id/vestiging/2274106008"
